price,occupancy_area,room_layout,address,management_expenses,reserve_fund_for_repairs,building_structure,total_number_of_houses,parking,bike_parking,pet,land_rights,management,rank,floor_number,building_age,route,station,walk_distance,running_cost,parking_cost
730000,13.37,ワンルーム,目黒区,2760,7360,ＲＣ,49,,,,所有権,全部委託・日勤管理,5,2,35,東急東横線, 祐天寺駅,5,10120,
1500000,36.61,１ＤＫ,小金井市,100937,14400,ＲＣ,176,無,,,旧法地上権,,5,4,42,ＪＲ中央線, 武蔵小金井駅,19,115337,
1500000,36.61,１ＤＫ,小金井市,100937,14400,ＲＣ,50,無,,,旧法地上権,全部委託・常駐管理,5,4,43,ＪＲ中央線, 武蔵小金井駅,19,115337,
2000000,36.61,１ＬＤＫ,小金井市,100937,14400,ＲＣ,94,,,,旧法地上権,全部委託・常駐管理,5,5,43,ＪＲ中央線, 武蔵小金井駅,18,115337,
2300000,16.34,ワンルーム,青梅市,6300,5190,ＲＣ,47,無,,,所有権,全部委託・巡回管理,7,5,33,ＪＲ青梅線, 東青梅駅,2,11490,
2400000,11.02,ワンルーム,八王子市,6000,3000,ＲＣ,49,,,,所有権,全部委託・常駐管理,7,1,38,ＪＲ中央線, 八王子駅,10,9000,
2480000,18.0,ワンルーム,八王子市,6000,2000,ＲＣ,52,空無,有,,所有権,全部委託・巡回管理,5,2,29,ＪＲ中央線, 八王子駅,60,8000,
2480000,18.0,ワンルーム,八王子市,6000,2000,ＲＣ,52,,,,所有権,全部委託・巡回管理,5,2,29,ＪＲ中央線, 八王子駅,60,8000,
2500000,15.15,ワンルーム,青梅市,5880,1470,ＲＣ,39,,,,所有権,全部委託・巡回管理,5,5,33,ＪＲ青梅線, 東青梅駅,6,7350,
2500000,23.24,２Ｋ,国分寺市,13990,11200,ＲＣ,49,無,,,所有権,,3,1,52,ＪＲ中央線, 国分寺駅,11,25190,
2500000,16.04,ワンルーム,日野市,5700,2200,ＲＣ,75,,,,所有権,,3,2,38,京王線, 高幡不動駅,11,7900,
2700000,16.07,ワンルーム,八王子市,7900,6480,鉄骨造,92,,,,所有権,全部委託・常駐管理,5,2,33,ＪＲ中央線, 八王子駅,17,14380,
2700000,16.48,ワンルーム,八王子市,6000,2000,ＲＣ,49,,,,所有権,,5,3,29,ＪＲ中央線, 西八王子駅,60,8000,
2800000,16.85,ワンルーム,青梅市,7080,5060,ＲＣ,41,空無,,,所有権,全部委託・巡回管理,4,3,30,ＪＲ青梅線, 青梅駅,8,12140,
2800000,15.92,ワンルーム,八王子市,6500,2000,ＲＣ,27,,,,所有権,全部委託・巡回管理,4,4,30,ＪＲ中央線, 西八王子駅,15,8500,
2800000,16.15,ワンルーム,日野市,5700,2100,ＲＣ,77,無,,,所有権,全部委託・巡回管理,5,3,38,京王線, 高幡不動駅,10,7800,
2900000,18.48,１Ｋ,八王子市,5490,3900,ＲＣ,33,空無,無,,所有権,全部委託・巡回管理,5,1,29,ＪＲ中央線, 高尾駅,60,9390,
2900000,19.14,１Ｋ,八王子市,5670,4030,ＲＣ,33,空無,無,,所有権,全部委託・巡回管理,5,1,29,ＪＲ中央線, 高尾駅,60,9700,
3000000,19.11,１Ｋ,青梅市,6000,2000,ＲＣ,49,,,,所有権,,3,3,29,ＪＲ青梅線, 河辺駅,8,8000,
3000000,19.22,ワンルーム,八王子市,5000,1000,ＲＣ,7,,,,所有権,,3,3,40,ＪＲ八高線, 北八王子駅,16,6000,
3000000,17.01,ワンルーム,八王子市,6600,3420,ＲＣ,84,空無,空無,犬猫不可規定あり,所有権,全部委託・日勤管理,5,3,30,ＪＲ中央線, 西八王子駅,16,10020,
3000000,16.36,１Ｋ,日野市,8440,6400,ＲＣ,49,,,,所有権,,7,3,30,京王線, 平山城址公園駅,7,14840,
3100000,23.08,１Ｋ,八王子市,10200,5800,ＲＣ,49,有,無,,所有権,全部委託・巡回管理,7,3,29,京王高尾線, めじろ台駅,12,16000,12000
3100000,17.74,１Ｋ,日野市,7900,5320,ＲＣ,49,,,,所有権,全部委託・日勤管理,5,3,29,ＪＲ中央線, 豊田駅,13,13220,
3100000,19.6,１Ｋ,福生市,7580,3180,ＲＣ,63,無,,,所有権,,5,1,33,ＪＲ青梅線, 福生駅,10,10760,
3200000,16.2,ワンルーム,青梅市,4600,2190,ＲＣ,60,空無,有,,所有権,全部委託・巡回管理,6,4,29,ＪＲ青梅線, 東青梅駅,4,6790,
3200000,19.5,１Ｋ,八王子市,3000,4000,ＲＣ,20,無,有,,所有権,一部委託・巡回管理,4,2,32,京王高尾線, めじろ台駅,12,7000,
3200000,15.59,ワンルーム,八王子市,4900,2000,ＳＲＣ,136,空無,,,所有権,一部委託・巡回管理,8,3,27,ＪＲ中央線, 西八王子駅,60,6900,
3200000,15.59,ワンルーム,八王子市,4900,2000,ＳＲＣ,136,,,,所有権,一部委託・巡回管理,8,3,27,ＪＲ中央線, 西八王子駅,60,6900,
