価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
73万円,5階建 / 2階,"1986年1月
(築35年5ヶ月)",13.37m²,ワンルーム,"
			東急東横線 / 祐天寺駅 徒歩5分
							（電車ルート案内）
											","
			東京都目黒区上目黒４丁目
							（地図を見る）
					",5.46万円,"2,760円","7,360円",ユースフル祐天寺２（持分６６分の８） 218（8/66）,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（株式会社合人社計画研究所）
						"
150万円,5階建 / 4階,"1978年7月
(築42年11ヶ月)",36.61m²,１ＤＫ,"
			ＪＲ中央線 / 武蔵小金井駅 徒歩19分
							（電車ルート案内）
											","
			東京都小金井市桜町１丁目
							（地図を見る）
					",4.10万円,"100,937円","14,400円",小金井ヘルス・ケア・マンションＢ棟,ＲＣ,176戸,無,－,"
									－
							",旧法地上権,"
									常駐管理
						"
150万円,5階建 / 4階,"1978年6月
(築43年)",36.61m²,１ＤＫ,"
			ＪＲ中央線 / 武蔵小金井駅 徒歩19分
							（電車ルート案内）
											","
			東京都小金井市桜町１丁目
							（地図を見る）
					",4.10万円,"100,937円","14,400円",小金井ヘルス・ケア・マンション　Ｂ棟,ＲＣ,50戸,無,－,"
									－
							",旧法地上権,"
									全部委託・常駐管理
						"
200万円,5階建 / 5階,"1978年6月
(築43年)",36.61m²,１ＬＤＫ,"
			ＪＲ中央線 / 武蔵小金井駅 徒歩18分
							（電車ルート案内）
										
				西武新宿線 / 花小金井駅 徒歩28分
									（電車ルート案内）
												","
			東京都小金井市桜町１丁目
							（地図を見る）
					",5.47万円,"100,937円","14,400円",小金井ヘルス・ケア・マンション,ＲＣ,94戸,－,－,"
									－
							",旧法地上権,"
									全部委託・常駐管理
						"
230万円,7階建 / 5階,"1988年3月
(築33年3ヶ月)",16.34m²,ワンルーム,"
			ＪＲ青梅線 / 東青梅駅 徒歩2分
							（電車ルート案内）
											","
			東京都青梅市東青梅２丁目
					",14.08万円,"6,300円","5,190円",メゾン・ド・トレゾール,ＲＣ,47戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
240万円,7階建 / 1階,"1982年9月
(築38年9ヶ月)",11.02m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅 徒歩10分
							（電車ルート案内）
										
				京王線 / 京王八王子駅 徒歩9分
									（電車ルート案内）
														
				ＪＲ横浜線 / 八王子駅 徒歩10分
									（電車ルート案内）
									","
			東京都八王子市天神町
							（地図を見る）
					",21.78万円,"6,000円","3,000円",メゾン・ド・ノア天神町 １０６,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・常駐管理（（株）ｱｸｼｽｱﾝﾄﾞﾌﾟﾛﾏｯｸｽ）
						"
248万円,地上5階地下1階建 / 2階,"1992年2月
(築29年4ヶ月)",18.00m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅【バス】 8分 天神前 停歩7分
							（電車ルート案内）
											","
			東京都八王子市左入町
							（地図を見る）
					",13.78万円,"6,000円","2,000円",ヒルズ八王子,ＲＣ,52戸,空無,有,"
									－
							",所有権,"
									全部委託・巡回管理
						"
248万円,5階建 / 2階,"1992年2月
(築29年4ヶ月)",18.00m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅【バス】 16分 尾崎 停歩6分
							（電車ルート案内）
											","
			東京都八王子市左入町
					",13.78万円,"6,000円","2,000円",ヒルズ八王子,ＲＣ,52戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
250万円,5階建 / 5階,"1988年1月
(築33年5ヶ月)",15.15m²,ワンルーム,"
			ＪＲ青梅線 / 東青梅駅 徒歩6分
							（電車ルート案内）
											","
			東京都青梅市東青梅３丁目
							（地図を見る）
					",16.51万円,"5,880円","1,470円",ワコーレ青梅,ＲＣ,39戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（（株）穴吹ハウジングサービス）
						"
250万円,3階建 / 1階,"1968年11月
(築52年7ヶ月)",23.24m²,２Ｋ,"
			ＪＲ中央線 / 国分寺駅 徒歩11分
							（電車ルート案内）
											","
			東京都国分寺市東恋ヶ窪３丁目
							（地図を見る）
					",10.76万円,－,なし,１０２,ＲＣ,－,無,－,"
									－
							",所有権,"
									自主管理
						"
